Index,Category_x,Name,Year,Month_only,Month-Year,Sustainedwind speeds,Deaths, Actual Dollars ,Category_y,DateImpact,Landfall,Updated
795,4,Donna,1960,September,"September,1960",,,,2,12-Sep,New York,4
879,1,Agnes,1972,June,"June,1972",90,128,"$2,100,000,000.00 ",1,22-Jun,New York,1
940,4,Gloria,1985,September,"September,1985",,11,"$2,242,900,000.00 ",1,27-Sep,New York,4
1123,,Unnamed,1893,,,,,,1,24-Aug,New York,1
1168,,Unnamed,1938,,,,,,3,21-Sep,New York,3
1174,,Unnamed,1944,,,,,,2,15-Sep,New York,2
1181,,Carol,1954,,,,,,3,31-Aug,New York,3
1186,,Bob,1991,,,,,,2,19-Aug,New York,2
1303,,Unnamed,1934,,,,,,1,8-Sep,New York,1
1310,,Edna,1954,,,,,,1,11-Sep,New York,1
1314,,Belle,1976,,,,,,1,10-Aug,New York,1
1315,,Sandy,2012,,,,,,1,29-Oct,New York,1
91,3,Unnamed,1861,September,"September,1861",115,46,,1,27-Sep,North Carolina,3
92,3,Unnamed,1861,September,"September,1861",115,46,,1,2-Nov,North Carolina,3
94,3,Unnamed,1861,November,"November,1861",125,9,,1,27-Sep,North Carolina,3
95,3,Unnamed,1861,November,"November,1861",125,9,,1,2-Nov,North Carolina,3
97,3,Unnamed,1861,September,"September,1861",125,1,,1,27-Sep,North Carolina,3
98,3,Unnamed,1861,September,"September,1861",125,1,,1,2-Nov,North Carolina,3
100,3,Unnamed,1861,August,"August,1861",115,,,1,27-Sep,North Carolina,3
101,3,Unnamed,1861,August,"August,1861",115,,,1,2-Nov,North Carolina,3
197,3,Unnamed,1874,August,"August,1874",120,149,,1,24-Sep,North Carolina,3
200,3,Unnamed,1874,September,"September,1874",120,5,,1,24-Sep,North Carolina,3
203,3,Unnamed,1874,August,"August,1874",120,,,1,24-Sep,North Carolina,3
217,3,Unnamed,1876,September,"September,1876",115,41,,1,17-Sep,North Carolina,3
244,3,Unnamed,1878,August,"August,1878",115,200,,2,23-Oct,North Carolina,3
252,3,Unnamed,1878,August,"August,1878",120,34,,2,23-Oct,North Carolina,3
260,3,Unnamed,1878,October,"October,1878",120,34,,2,23-Oct,North Carolina,3
268,3,Unnamed,1878,October,"October,1878",120,1,,2,23-Oct,North Carolina,3
278,3,Unnamed,1879,August,"August,1879",120,26,,3,18-Aug,North Carolina,3
284,3,Unnamed,1879,October,"October,1879",120,,,3,18-Aug,North Carolina,3
302,3,Unnamed,1880,August,"August,1880",120,34,,1,9-Sep,North Carolina,3
306,3,Unnamed,1880,October,"October,1880",120,2,,1,9-Sep,North Carolina,3
310,3,Unnamed,1880,September,"September,1880",120,,,1,9-Sep,North Carolina,3
314,3,Unnamed,1880,October,"October,1880",120,,,1,9-Sep,North Carolina,3
318,3,Unnamed,1880,August,"August,1880",120,,,1,9-Sep,North Carolina,3
325,3,Unnamed,1881,August,"August,1881",120,55,,2,9-Sep,North Carolina,3
328,3,Unnamed,1881,August,"August,1881",115,25,,2,9-Sep,North Carolina,3
342,3,Unnamed,1883,August,"August,1883",125,10,,2,11-Sep,North Carolina,3
362,3,Unnamed,1885,September,"September,1885",120,10,,2,25-Sep,North Carolina,3
366,3,Unnamed,1885,September,"September,1885",115,8,,2,25-Sep,North Carolina,3
370,3,Unnamed,1885,September,"September,1885",125,7,,2,25-Sep,North Carolina,3
374,3,Unnamed,1885,September,"September,1885",120,,,2,25-Sep,North Carolina,3
378,3,Unnamed,1885,August,"August,1885",125,,,2,25-Sep,North Carolina,3
409,3,Unnamed,1887,September,"September,1887",120,216,,1,20-Aug,North Carolina,3
413,3,Unnamed,1887,October,"October,1887",115,3,,1,20-Aug,North Carolina,3
734,4,Unnamed,1949,,",1949",,,,1,24-Aug,North Carolina,4
748,1,Barbara,1953,August,"August,1953",90,9,"$1,300,000.00 ",1,14-Aug,North Carolina,1
760,4,Hazel,1954,October,"October,1954",,,,4,15-Oct,North Carolina,4
763,4,Connie,1955,August,"August,1955",,,,2,12-Aug,North Carolina,4
777,4,Helene,1958,September,"September,1958",,,,3,27-Sep,North Carolina,4
796,4,Donna,1960,September,"September,1960",,,,2,12-Sep,North Carolina,4
933,4,Diana,1984,September,"September,1984",,,,2,13-Sep,North Carolina,4
941,4,Gloria,1985,September,"September,1985",,11,"$2,242,900,000.00 ",3,27-Sep,North Carolina,4
946,1,Charley,1986,August,"August,1986",80,15,"$15,000,000.00 ",1,17-Aug,North Carolina,1
954,5,Hugo,1989,September,"September,1989",160,86,"$20,429,700,000.00 ",1,22-Sep,North Carolina,5
991,4,Floyd,1999,September,"September,1999",,77,"$10,969,900,000.00 ",2,16-Sep,North Carolina,4
1007,5,Isabel,2003,September,"September,2003",165,55,"$8,390,600,000.00 ",2,18-Sep,North Carolina,5
1016,4,Charley,2004,August,"August,2004",,35,"$2,399,300,000.00 ",1,14-Aug,North Carolina,4
1032,1,Ophelia,2005,September,"September,2005",85,3,"$70,000,000.00 ",1,14-Sep,North Carolina,1
1077,5,Matthew,2016,October,"October,2016",165,49,"$11,700,000,000.00 ",1,8-Oct,North Carolina,5
1091,4,Florence,2018,September,"September,2018",,53,"$26,880,000,000.00 ",1,14-Sep,North Carolina,4
1095,5,Dorian,2019,September,"September,2019",185,10,"$1,787,100,000.00 ",2,6-Sep,North Carolina,5
1101,1,Isaias,2020,July,"July,2020",90,16,"$5,185,200,000.00 ",1,4-Aug,North Carolina,1
1124,,Unnamed,1893,,,,,,1,28-Aug,North Carolina,1
1125,,Unnamed,1893,,,,,,1,13-Oct,North Carolina,1
1132,,Unnamed,1901,,,,,,1,11-Jul,North Carolina,1
1139,,Unnamed,1906,,,,,,1,17-Sep,North Carolina,1
1175,,Unnamed,1944,,,,,,1,1-Aug,North Carolina,1
1176,,Unnamed,1944,,,,,,2,14-Sep,North Carolina,2
1182,,Carol,1954,,,,,,1,31-Aug,North Carolina,1
1203,,Unnamed,1896,,,,,,1,29-Sep,North Carolina,1
1213,,Unnamed,1899,,,,,,3,18-Aug,North Carolina,3
1214,,Unnamed,1899,,,,,,2,31-Oct,North Carolina,2
1242,,Unnamed,1924,,,,,,1,26-Aug,North Carolina,1
1250,,Unnamed,1933,,,,,,1,23-Aug,North Carolina,1
1251,,Unnamed,1933,,,,,,2,16-Sep,North Carolina,2
1258,,Unnamed,1936,,,,,,1,18-Sep,North Carolina,1
1282,,Irene,1999,,,,,,2,18-Oct,North Carolina,2
1296,,Unnamed,1918,,,,,,1,24-Aug,North Carolina,1
1304,,Unnamed,1934,,,,,,1,9-Sep,North Carolina,1
1311,,Edna,1954,,,,,,1,11-Sep,North Carolina,1
1316,,Unnamed,1857,,,,,,1,13-Sep,North Carolina,1
1317,,Unnamed,1908,,,,,,1,31-Jul,North Carolina,1
1318,,Unnamed,1913,,,,,,1,3-Sep,North Carolina,1
1321,,Ione,1955,,,,,,2,19-Sep,North Carolina,2
1322,,Ginger,1971,,,,,,1,30-Sep,North Carolina,1
1323,,Emily,1993,,,,,,3,31-Aug,North Carolina,3
1324,,Bertha,1996,,,,,,2,12-Jul,North Carolina,2
1325,,Fran,1996,,,,,,3,6-Sep,North Carolina,3
1326,,Bonnie,1998,,,,,,2,27-Aug,North Carolina,2
1327,,Alex,2004,,,,,,1,3-Aug,North Carolina,1
1328,,Irene,2011,,,,,,1,27-Aug,North Carolina,1
1329,,Arthur,2014,,,,,,2,4-Jul,North Carolina,2
61,3,Unnamed,1858,June,"June,1858",115,,,1,16-Sep,Rhode Island,3
143,3,Unnamed,1869,September,"September,1869",125,921,,1,8-Sep,Rhode Island,3
464,4,Unnamed,1894,,",1894",,,,1,10-Oct,Rhode Island,4
797,4,Donna,1960,September,"September,1960",,,,1,12-Sep,Rhode Island,4
1169,,Unnamed,1938,,,,,,3,21-Sep,Rhode Island,3
1177,,Unnamed,1944,,,,,,2,15-Sep,Rhode Island,2
1183,,Carol,1954,,,,,,3,31-Aug,Rhode Island,3
1187,,Bob,1991,,,,,,2,19-Aug,Rhode Island,2
1204,,Unnamed,1896,,,,,,1,10-Sep,Rhode Island,1
1312,,Edna,1954,,,,,,1,11-Sep,Rhode Island,1
28,3,Unnamed,1854,June,"June,1854",125,,,2,8-Sep,South Carolina,3
129,3,Unnamed,1867,August,"August,1867",125,12,,1,22-Jun,South Carolina,3
133,3,Unnamed,1867,June,"June,1867",120,,,1,22-Jun,South Carolina,3
198,3,Unnamed,1874,August,"August,1874",120,149,,1,28-Sep,South Carolina,3
201,3,Unnamed,1874,September,"September,1874",120,5,,1,28-Sep,South Carolina,3
204,3,Unnamed,1874,August,"August,1874",120,,,1,28-Sep,South Carolina,3
245,3,Unnamed,1878,August,"August,1878",115,200,,1,12-Sep,South Carolina,3
253,3,Unnamed,1878,August,"August,1878",120,34,,1,12-Sep,South Carolina,3
261,3,Unnamed,1878,October,"October,1878",120,34,,1,12-Sep,South Carolina,3
269,3,Unnamed,1878,October,"October,1878",120,1,,1,12-Sep,South Carolina,3
326,3,Unnamed,1881,August,"August,1881",120,55,,1,28-Aug,South Carolina,3
329,3,Unnamed,1881,August,"August,1881",115,25,,1,28-Aug,South Carolina,3
343,3,Unnamed,1883,August,"August,1883",125,10,,1,11-Sep,South Carolina,3
363,3,Unnamed,1885,September,"September,1885",120,10,,3,25-Aug,South Carolina,3
367,3,Unnamed,1885,September,"September,1885",115,8,,3,25-Aug,South Carolina,3
371,3,Unnamed,1885,September,"September,1885",125,7,,3,25-Aug,South Carolina,3
375,3,Unnamed,1885,September,"September,1885",120,,,3,25-Aug,South Carolina,3
379,3,Unnamed,1885,August,"August,1885",125,,,3,25-Aug,South Carolina,3
465,4,Unnamed,1894,,",1894",,,,1,27-Sep,South Carolina,4
761,4,Hazel,1954,October,"October,1954",,,,4,15-Oct,South Carolina,4
780,1,Cindy,1959,July,"July,1959",75,6,"$75,000.00 ",1,9-Jul,South Carolina,1
787,4,Gracie,1959,September,"September,1959",,,,4,29-Sep,South Carolina,4
917,5,David,1979,August,"August,1979",175,2068,,2,4-Sep,South Carolina,5
943,1,Bob,1985,July,"July,1985",75,5,"$20,000,000.00 ",1,25-Jul,South Carolina,1
955,5,Hugo,1989,September,"September,1989",160,86,"$20,429,700,000.00 ",4,22-Sep,South Carolina,4
1017,4,Charley,2004,August,"August,2004",,35,"$2,399,300,000.00 ",1,14-Aug,South Carolina,4
1018,1,Gaston,2004,August,"August,2004",75,9,"$130,000,000.00 ",1,29-Aug,South Carolina,1
1078,5,Matthew,2016,October,"October,2016",165,49,"$11,700,000,000.00 ",1,8-Oct,South Carolina,5
1102,1,Isaias,2020,July,"July,2020",90,16,"$5,185,200,000.00 ",1,4-Aug,South Carolina,1
1126,,Unnamed,1893,,,,,,3,28-Aug,South Carolina,3
1127,,Unnamed,1893,,,,,,3,13-Oct,South Carolina,3
1140,,Unnamed,1906,,,,,,1,17-Sep,South Carolina,1
1149,,Unnamed,1916,,,,,,2,14-Jul,South Carolina,2
1205,,Unnamed,1896,,,,,,1,29-Sep,South Carolina,1
1211,,Unnamed,1898,,,,,,1,31-Aug,South Carolina,1
1215,,Unnamed,1899,,,,,,2,31-Oct,South Carolina,2
1219,,Unnamed,1904,,,,,,1,14-Sep,South Carolina,1
1228,,Unnamed,1911,,,,,,2,28-Aug,South Carolina,2
1246,,Unnamed,1928,,,,,,1,18-Sep,South Carolina,1
1270,,Unnamed,1947,,,,,,2,15-Oct,South Carolina,2
1288,,Unnamed,1940,,,,,,2,11-Aug,South Carolina,2
1319,,Unnamed,1913,,,,,,1,8-Oct,South Carolina,1
1330,,Able,1952,,,,,,2,31-Aug,South Carolina,2
29,3,Unnamed,1854,June,"June,1854",125,,,1,26-Jun,Texas,3
30,3,Unnamed,1854,June,"June,1854",125,,,2,18-Sep,Texas,3
121,3,Unnamed,1866,September,"September,1866",120,150,,2,15-Jul,Texas,3
122,3,Unnamed,1866,September,"September,1866",120,,,2,15-Jul,Texas,3
130,3,Unnamed,1867,August,"August,1867",125,12,,1,2-Oct,Texas,3
134,3,Unnamed,1867,June,"June,1867",120,,,1,2-Oct,Texas,3
144,3,Unnamed,1869,September,"September,1869",125,921,,2,17-Aug,Texas,3
211,3,Unnamed,1875,September,"September,1875",120,240,,3,16-Sep,Texas,3
212,3,Unnamed,1875,August,"August,1875",120,134,,3,16-Sep,Texas,3
213,3,Unnamed,1875,October,"October,1875",120,19,,3,16-Sep,Texas,3
279,3,Unnamed,1879,August,"August,1879",120,26,,2,23-Aug,Texas,3
285,3,Unnamed,1879,October,"October,1879",120,,,2,23-Aug,Texas,3
303,3,Unnamed,1880,August,"August,1880",120,34,,3,13-Aug,Texas,3
307,3,Unnamed,1880,October,"October,1880",120,2,,3,13-Aug,Texas,3
311,3,Unnamed,1880,September,"September,1880",120,,,3,13-Aug,Texas,3
315,3,Unnamed,1880,October,"October,1880",120,,,3,13-Aug,Texas,3
319,3,Unnamed,1880,August,"August,1880",120,,,3,13-Aug,Texas,3
390,3,Unnamed,1886,July,"July,1886",120,,,2,14-Jun,Texas,3
391,3,Unnamed,1886,July,"July,1886",120,,,4,20-Aug,Texas,3
392,3,Unnamed,1886,July,"July,1886",120,,,1,23-Sep,Texas,3
393,3,Unnamed,1886,July,"July,1886",120,,,2,12-Oct,Texas,3
410,3,Unnamed,1887,September,"September,1887",120,216,,2,21-Sep,Texas,3
414,3,Unnamed,1887,October,"October,1887",115,3,,2,21-Sep,Texas,3
424,3,Unnamed,1888,June,"June,1888",125,,,1,17-Jun,Texas,3
537,4,Unnamed,1910,,",1910",,,,2,14-Sep,Texas,4
637,4,Unnamed,1929,,",1929",,,,1,28-Jun,Texas,4
650,4,Unnamed,1932,,",1932",,,,4,14-Aug,Texas,4
716,4,Unnamed,1945,,",1945",,,,2,27-Aug,Texas,4
735,4,Unnamed,1949,,",1949",,,,2,4-Oct,Texas,4
779,1,Debra,1959,July,"July,1959",85,0,"$700,000.00 ",1,25-Jul,Texas,1
801,4,Carla,1961,September,"September,1961",,,,4,11-Sep,Texas,4
838,5,Beulah,1967,September,"September,1967",160,59,,3,20-Sep,Texas,3
866,4,Celia,1970,August,"August,1970",,,,4,3-Aug,Texas,4
871,1,Fern,1971,September,"September,1971",90,2,"$30,200,000.00 ",1,10-Sep,Texas,1
921,5,Allen,1980,August,"August,1980",190,13,"$2,012,000,000.00 ",3,10-Aug,Texas,3
945,1,Bonnie,1986,June,"June,1986",85,5,"$42,000,000.00 ",1,28-Jun,Texas,1
956,1,Chantal,1989,July,"July,1989",80,13,"$100,000,000.00 ",1,1-Aug,Texas,1
957,1,Jerry,1989,October,"October,1989",85,3,"$70,000,000.00 ",1,16-Oct,Texas,1
992,4,Bret,1999,August,"August,1999",,,,3,23-Aug,Texas,4
1009,1,Claudette,2003,July,"July,2003",90,3,"$181,000,000.00 ",1,15-Jul,Texas,1
1027,5,Rita,2005,September,"September,2005",180,119,"$26,455,100,000.00 ",2,24-Sep,Texas,5
1044,1,Humberto,2007,September,"September,2007",90,1,"$50,000,000.00 ",1,13-Sep,Texas,1
1048,4,Ike,2008,September,"September,2008",,112,"$38,998,400,000.00 ",2,13-Sep,Texas,4
1082,4,Harvey,2017,August,"August,2017",,89,"$143,750,000,000.00 ",4,26-Aug,Texas,4
1100,4,Laura,2020,August,"August,2020",,42,"$25,304,500,000.00 ",1,27-Aug,Texas,4
1104,1,Hanna,2020,July,"July,2020",90,0,"$1,171,800,000.00 ",1,25-Jul,Texas,1
1110,1,Nicholas,2021,September,"September,2021",75,0,"$1,056,600,000.00 ",1,14-Sep,Texas,1
1143,,Unnamed,1912,,,,,,2,16-Oct,Texas,2
1150,,Unnamed,1916,,,,,,4,18-Aug,Texas,4
1193,,Unnamed,1851,,,,,,1,25-Jun,Texas,1
1196,,Unnamed,1865,,,,,,1,13-Sep,Texas,1
1198,,Unnamed,1891,,,,,,1,5-Jul,Texas,1
1217,,Unnamed,1900,,,,,,4,9-Sep,Texas,4
1223,,Unnamed,1909,,,,,,2,29-Jun,Texas,2
1224,,Unnamed,1909,,,,,,3,21-Jul,Texas,3
1225,,Unnamed,1909,,,,,,1,27-Aug,Texas,1
1234,,Unnamed,1915,,,,,,4,17-Aug,Texas,4
1236,,Unnamed,1919,,,,,,3,14-Sep,Texas,3
1238,,Unnamed,1921,,,,,,1,22-Jun,Texas,1
1252,,Unnamed,1933,,,,,,2,7-Aug,Texas,2
1253,,Unnamed,1933,,,,,,3,5-Sep,Texas,3
1259,,Unnamed,1936,,,,,,1,27-Jun,Texas,1
1263,,Unnamed,1941,,,,,,3,23-Sep,Texas,3
1271,,Unnamed,1947,,,,,,1,24-Aug,Texas,1
1289,,Unnamed,1940,,,,,,2,8-Aug,Texas,2
1294,,Unnamed,1897,,,,,,1,13-Sep,Texas,1
1297,,Unnamed,1918,,,,,,1,7-Aug,Texas,1
1305,,Unnamed,1934,,,,,,2,25-Jul,Texas,2
1307,,Audrey,1957,,,,,,2,27-Jun,Texas,2
1320,,Unnamed,1913,,,,,,1,27-Jun,Texas,1
1331,,Unnamed,1895,,,,,,1,30-Aug,Texas,1
1332,,Unnamed,1942,,,,,,1,21-Aug,Texas,1
1333,,Unnamed,1942,,,,,,3,30-Aug,Texas,3
1334,,Unnamed,1943,,,,,,2,27-Jul,Texas,2
1335,,Alicia,1983,,,,,,3,18-Aug,Texas,3
1336,,Dolly,2008,,,,,,1,23-Jul,Texas,1
218,3,Unnamed,1876,September,"September,1876",115,41,,1,17-Sep,Virginia,3
246,3,Unnamed,1878,August,"August,1878",115,200,,1,23-Oct,Virginia,3
254,3,Unnamed,1878,August,"August,1878",120,34,,1,23-Oct,Virginia,3
262,3,Unnamed,1878,October,"October,1878",120,34,,1,23-Oct,Virginia,3
270,3,Unnamed,1878,October,"October,1878",120,1,,1,23-Oct,Virginia,3
280,3,Unnamed,1879,August,"August,1879",120,26,,2,18-Aug,Virginia,3
286,3,Unnamed,1879,October,"October,1879",120,,,2,18-Aug,Virginia,3
466,4,Unnamed,1894,,",1894",,,,1,29-Sep,Virginia,4
764,4,Connie,1955,August,"August,1955",,,,1,12-Aug,Virginia,4
798,4,Donna,1960,September,"September,1960",,,,1,12-Sep,Virginia,4
1008,5,Isabel,2003,September,"September,2003",165,55,"$8,390,600,000.00 ",1,19-Sep,Virginia,5
1128,,Unnamed,1893,,,,,,1,13-Oct,Virginia,1
1178,,Unnamed,1944,,,,,,2,14-Sep,Virginia,2
1206,,Unnamed,1896,,,,,,1,30-Sep,Virginia,1
1254,,Unnamed,1933,,,,,,1,16-Sep,Virginia,1
1260,,Unnamed,1936,,,,,,1,18-Sep,Virginia,1
0,2,Eight,1851,July,"July,1851",105,,,,,,2
1,2,Five,1851,June,"June,1851",105,,,,,,2
2,3,Mobile,1851,July,"July,1851",115,300,,,,,3
3,1,One,1851,June,"June,1851",90,1,,,,,1
4,3,San Agapito,1851,June,"June,1851",115,23,,,,,3
5,1,Two,1851,July,"July,1851",90,0,,,,,1
6,2,Four,1852,September,"September,1852",105,4,"$20,000.00 ",,,,2
7,1,Four,1852,September,"September,1852",90,0,,,,,1
8,3,Coastal,1852,September,"September,1852",125,26,,,,,3
9,1,Hurricane San Lorenzo of 1852,1852,September,"September,1852",80,,,,,,1
10,3,Middle Gulf Coast,1852,September,"September,1852",125,,,,,,3
11,2,One,1852,September,"September,1852",105,,,,,,2
12,1,Three,1852,September,"September,1852",80,0,,,,,1
13,2,Two,1852,September,"September,1852",105,0,,,,,2
21,1,Six,1853,September,"September,1853",80,0,,,,,1
22,3,Southeastern,1853,September,"September,1853",115,4,,,,,3
23,2,Two,1853,September,"September,1853",105,424,,,,,2
24,2,Four,1854,June,"June,1854",105,0,,,,,2
25,1,One,1854,June,"June,1854",80,0,,,,,1
31,3,San Narciso,1855,August,"August,1855",125,811,,,,,3
32,2,Three,1855,August,"August,1855",105,0,,,,,2
33,1,Three,1855,August,"August,1855",80,0,,,,,1
34,4,Last Island,1856,August,"August,1856",,,,,,,4
35,3,New England,1856,August,"August,1856",115,12,,,,,3
36,2,One,1856,September,"September,1856",105,0,,,,,2
37,2,Six,1856,August,"August,1856",105,0,,,,,2
38,1,Six,1856,September,"September,1856",80,0,,,,,1
39,1,Two,1856,August,"August,1856",80,0,,,,,1
44,3,San Marcos,1857,September,"September,1857",115,1200,,,,,3
45,1,Three,1857,September,"September,1857",80,0,,,,,1
46,2,Two,1857,September,"September,1857",105,0,,,,,2
47,3,Central Florida,1858,September,"September,1858",115,26,,,,,3
48,1,Five,1858,September,"September,1858",90,0,,,,,1
49,2,Four,1858,June,"June,1858",105,0,,,,,2
50,1,Four,1858,September,"September,1858",90,0,,,,,1
51,2,Four,1858,September,"September,1858",100,,,,,,2
52,3,Nova Scotia,1858,September,"September,1858",115,600,,,,,3
53,1,One,1858,June,"June,1858",80,0,,,,,1
54,3,Santa Juana,1858,August,"August,1858",115,27,,,,,3
55,2,Six,1858,September,"September,1858",105,,,,,,2
56,2,Two,1858,August,"August,1858",100,0,,,,,2
57,1,Two,1858,August,"August,1858",80,0,,,,,1
62,1,Eight,1859,October,"October,1859",90,,,,,,1
63,1,Five,1859,September,"September,1859",80,2,,,,,1
64,3,Indianola,1859,September,"September,1859",115,829,,,,,3
65,2,One,1859,September,"September,1859",105,0,,,,,2
66,3,San Felipe,1859,September,"September,1859",115,21,,,,,3
67,2,Seven,1859,September,"September,1859",105,0,,,,,2
68,1,Three,1859,September,"September,1859",80,0,,,,,1
69,2,Three,1859,October,"October,1859",105,0,,,,,2
73,1,Three,1860,September,"September,1860",80,0,,,,,1
74,2,Two,1860,September,"September,1860",105,0,,,,,2
82,1,Five,1861,September,"September,1861",80,0,,,,,1
83,1,Four,1861,September,"September,1861",80,0,,,,,1
84,2,One,1861,September,"September,1861",105,0,,,,,2
85,1,The Expedition Hurricane of 1861,1861,November,"November,1861",80,0,,,,,1
86,2,Three,1861,August,"August,1861",105,0,,,,,2
87,2,Three,1861,November,"November,1861",105,0,,,,,2
88,1,Two,1861,August,"August,1861",90,0,,,,,1
89,2,Two,1861,September,"September,1861",105,0,,,,,2
102,1,Five,1862,October,"October,1862",80,3,,,,,1
103,2,Four,1862,October,"October,1862",105,0,,,,,2
104,3,Unnamed,1862,October,"October,1862",125,,,,,,3
105,1,Five,1863,September,"September,1863",80,0,,,,,1
106,2,Four,1863,September,"September,1863",105,325,,,,,2
107,3,Unnamed,1863,September,"September,1863",125,106,,,,,3
108,2,Seven,1864,July,"July,1864",105,1,"$300,000.00 ",,,,2
109,1,Five,1864,October,"October,1864",80,0,,,,,1
110,1,One,1864,July,"July,1864",80,0,,,,,1
111,2,One,1864,August,"August,1864",105,,,,,,2
112,1,Three,1864,August,"August,1864",80,0,,,,,1
113,2,Two,1864,October,"October,1864",105,,,,,,2
114,3,Unnamed,1864,August,"August,1864",120,4,,,,,3
115,3,Unnamed,1864,October,"October,1864",115,,,,,,3
116,3,Unnamed,1864,July,"July,1864",125,,,,,,3
117,2,Four,1866,September,"September,1866",105,8,,,,,2
118,1,Four,1866,September,"September,1866",80,0,,,,,1
119,1,Three,1866,September,"September,1866",80,0,,,,,1
120,2,Two,1866,September,"September,1866",105,13,,,,,2
123,1,Four,1867,August,"August,1867",80,0,,,,,1
124,1,One,1867,June,"June,1867",80,0,,,,,1
125,2,Six,1867,August,"August,1867",105,0,,,,,2
126,2,Three,1867,June,"June,1867",105,0,,,,,2
135,1,Five,1869,September,"September,1869",80,0,,,,,1
136,2,Seven,1869,September,"September,1869",105,,,,,,2
145,1,Eight,1870,October,"October,1870",80,0,,,,,1
146,1,Eleven,1870,October,"October,1870",80,0,,,,,1
147,1,Five,1870,September,"September,1870",90,0,,,,,1
148,2,Four,1870,October,"October,1870",105,0,,,,,2
149,3,Midnight Storm,1870,October,"October,1870",115,34,,,,,3
150,2,One,1870,July,"July,1870",105,2,,,,,2
151,2,One,1870,October,"October,1870",105,0,,,,,2
152,3,San Magín,1870,September,"September,1870",125,703,,,,,3
153,3,San Roque,1870,October,"October,1870",120,4,,,,,3
154,3,Sea Islands,1870,October,"October,1870",120,1000,,,,,3
155,1,Seven,1870,October,"October,1870",80,0,,,,,1
156,1,The Mobile Hurricane of 1870,1870,July,"July,1870",80,,,,,,1
157,2,Three,1870,September,"September,1870",105,0,,,,,2
158,2,Two,1870,October,"October,1870",105,,,,,,2
162,1,Eight,1871,October,"October,1871",80,0,,,,,1
163,1,Seven,1871,September,"September,1871",80,0,,,,,1
164,2,Seven,1871,September,"September,1871",105,0,,,,,2
165,1,Six,1871,September,"September,1871",80,0,,,,,1
166,2,Ten,1871,September,"September,1871",105,37,,,,,2
167,2,Two,1871,October,"October,1871",105,0,,,,,2
177,3,Cedar Keys,1872,October,"October,1872",125,202,,,,,3
178,1,Five,1872,October,"October,1872",80,0,,,,,1
179,2,Five,1872,October,"October,1872",105,0,,,,,2
180,1,Four,1872,September,"September,1872",80,0,,,,,1
181,2,Nine,1872,September,"September,1872",105,52,,,,,2
182,3,San Ramón,1872,September,"September,1872",115,,,,,,3
183,2,Ten,1872,September,"September,1872",105,0,,,,,2
184,1,Three,1872,September,"September,1872",80,0,,,,,1
185,3,Unnamed,1872,September,"September,1872",120,9,,,,,3
186,1,Three,1873,September,"September,1873",80,0,,,,,1
187,2,Two,1873,September,"September,1873",105,0,,,,,2
190,2,Five,1874,August,"August,1874",105,0,,,,,2
191,2,Four,1874,September,"September,1874",105,0,,,,,2
192,2,Seven,1874,August,"August,1874",105,0,,,,,2
193,1,Six,1874,September,"September,1874",90,0,,,,,1
194,1,Three,1874,August,"August,1874",90,0,,,,,1
195,1,Two,1874,August,"August,1874",80,0,,,,,1
205,2,Five,1875,September,"September,1875",105,9,,,,,2
206,2,Four,1875,August,"August,1875",105,0,,,,,2
207,1,One,1875,August,"August,1875",80,0,,,,,1
208,1,Six,1875,October,"October,1875",80,0,,,,,1
209,2,Six,1875,October,"October,1875",105,0,,,,,2
210,1,Two,1875,September,"September,1875",80,0,,,,,1
214,2,Eleven,1876,September,"September,1876",105,72,"$2,000,000.00 ",,,,2
215,1,One,1876,September,"September,1876",90,0,,,,,1
219,2,Eight,1877,September,"September,1877",105,0,,,,,2
220,1,Three,1877,September,"September,1877",80,0,,,,,1
221,2,Two,1877,September,"September,1877",105,0,,,,,2
222,1,Two,1877,September,"September,1877",80,0,,,,,1
231,1,Eight,1878,October,"October,1878",80,27,,,,,1
232,2,Five,1878,August,"August,1878",105,700,,,,,2
233,2,Four,1878,August,"August,1878",105,68,,,,,2
234,2,Four,1878,October,"October,1878",105,8,,,,,2
235,1,Nine,1878,October,"October,1878",80,0,,,,,1
236,2,Six,1878,October,"October,1878",105,0,,,,,2
237,1,Three,1878,August,"August,1878",90,0,,,,,1
238,1,Two,1878,August,"August,1878",80,,,,,,1
271,2,Two,1879,August,"August,1879",105,25,"$1,800,000.00 ",,,,2
272,1,One,1879,August,"August,1879",80,0,,,,,1
273,2,One,1879,October,"October,1879",100,,,,,,2
274,1,Seven,1879,October,"October,1879",80,0,,,,,1
287,2,Eight,1880,September,"September,1880",100,0,,,,,2
288,2,Eight,1880,October,"October,1880",105,0,,,,,2
289,1,Five,1880,August,"August,1880",90,0,,,,,1
290,2,Four,1880,October,"October,1880",100,0,,,,,2
291,1,Nine,1880,October,"October,1880",80,0,,,,,1
292,2,Nine,1880,September,"September,1880",100,0,,,,,2
293,3,San Pedro,1880,September,"September,1880",125,80,,,,,3
294,1,Seven,1880,September,"September,1880",90,0,,,,,1
295,1,Six,1880,September,"September,1880",80,0,,,,,1
296,1,Ten,1880,October,"October,1880",90,0,,,,,1
297,2,Three,1880,August,"August,1880",100,18,,,,,2
298,1,Three,1880,August,"August,1880",90,0,,,,,1
299,2,Two,1880,August,"August,1880",100,0,,,,,2
